team,league,team_country,team_continent
No Team,Unknown,Unknown,Unknown
Al Wehda,Saudi Professional League,Saudi Arabia,Asia
Al Ahli,Saudi Professional League,Saudi Arabia,Asia
Brentford,EFL Championship,England,Europe
Goiás,Campeonato Brasileiro Série A,Brazil,South America
Club Tijuana,Liga MX,Mexico,North America
Universidad Católica,Primera División,Chile,South America
Fatih Karagümrük S.K.,Süper Lig,Turkey,Europe
Independiente,Primera División,Argentina,South America
Qingdao Huanghai F.C.,Chinese Super League,China,Asia
Racing Club de Lens,Ligue 1,France,Europe
Cádiz CF,La Liga,Spain,Europe
Montreal Impact,MLS,Canada,North America
UD Almería,La Liga 2,Spain,Europe
FC Utrecht,Eredivisie,Netherlands,Europe
KAA Gent,Belgian Pro League,Belgium,Europe
Chongqing Dangdai Lifan FC SWM Team,Chinese Super League,China,Asia
New England Revolution,MLS,United States,North America
AEK Athens,Super League Greece,Greece,Europe
Nacional de Montevideo,Primera División,Uruguay,South America
FC Red Bull Salzburg,Austrian Bundesliga,Austria,Europe
Nîmes Olympique,Ligue 1,France,Europe
SPAL,Serie B,Italy,Europe
Colo-Colo,Primera División,Chile,South America
Santos Laguna,Liga MX,Mexico,North America
Al Ain FC,UAE Pro League,United Arab Emirates,Asia
Fortaleza,Campeonato Brasileiro Série A,Brazil,South America
Spezia,Serie A,Italy,Europe
Perth Glory,A-League,Australia,Oceania
1. FSV Mainz 05,Bundesliga,Germany,Europe
Vasco da Gama,Campeonato Brasileiro Série B,Brazil,South America
FC Midtjylland,Danish Superliga,Denmark,Europe
Çaykur Rizespor,Süper Lig,Turkey,Europe
FC Basel 1893,Swiss Super League,Switzerland,Europe
Deportivo Toluca,Liga MX,Mexico,North America
FC København,Danish Superliga,Denmark,Europe
Godoy Cruz,Primera División,Argentina,South America
Olimpia Asunción,Primera División,Paraguay,South America
Shenzhen FC,Chinese Super League,China,Asia
Rio Ave FC,Primeira Liga,Portugal,Europe
Aalborg BK,Danish Superliga,Denmark,Europe
FC Metz,Ligue 1,France,Europe
DSC Arminia Bielefeld,Bundesliga,Germany,Europe
RCD Mallorca,La Liga 2,Spain,Europe
Rosenborg BK,Eliteserien,Norway,Europe
Club Athletico Paranaense,Campeonato Brasileiro Série A,Brazil,South America
Botafogo,Campeonato Brasileiro Série A,Brazil,South America
Pachuca,Liga MX,Mexico,North America
KRC Genk,Belgian Pro League,Belgium,Europe
Swansea City,EFL Championship,England,Europe
En Avant de Guingamp,Ligue 2,France,Europe
Lecce,Serie B,Italy,Europe
Junior FC,Categoría Primera A,Colombia,South America
Columbus Crew SC,MLS,United States,North America
Stade Malherbe Caen,Ligue 2,France,Europe
Hatayspor,Süper Lig,Turkey,Europe
Real Zaragoza,Segunda División,Spain,Europe
Rangers FC,Scottish Premiership,Scotland,Europe
Sparta Praha,Czech First League,Czech Republic,Europe
Shandong Luneng TaiShan FC,Chinese Super League,China,Asia
Moreirense FC,Primeira Liga,Portugal,Europe
VfB Stuttgart,Bundesliga,Germany,Europe
Atlético Clube Goianiense,Campeonato Brasileiro Série A,Brazil,South America
Kaizer Chiefs,South African Premier Division,South Africa,Africa
Atiker Konyaspor,Süper Lig,Turkey,Europe
Deportivo Cali,Categoría Primera A,Colombia,South America
Antalyaspor,Süper Lig,Turkey,Europe
Newell's Old Boys,Primera División,Argentina,South America
Chicago Fire,MLS,United States,North America
FC Seoul,K League 1,South Korea,Asia
Puebla FC,Liga MX,Mexico,North America
Fortuna Düsseldorf,2. Bundesliga,Germany,Europe
Toulouse Football Club,Ligue 2,France,Europe
Henan Jianye FC,Chinese Super League,China,Asia
Astra Giurgiu,Liga I,Romania,Europe
Bahia,Campeonato Brasileiro Série A,Brazil,South America
Nottingham Forest,EFL Championship,England,Europe
Famalicão,Primeira Liga,Portugal,Europe
Western United FC,A-League,Australia,Oceania
New York City FC,MLS,United States,North America
Peñarol,Primera División,Uruguay,South America
DC United,MLS,United States,North America
Minnesota United FC,MLS,United States,North America
Argentinos Juniors,Primera División,Argentina,South America
U.N.A.M.,Liga MX,Mexico,North America
Independiente del Valle,Serie A,Ecuador,South America
Philadelphia Union,MLS,United States,North America
Malmö FF,Allsvenskan,Sweden,Europe
Rosario Central,Primera División,Argentina,South America
Denizlispor,Süper Lig,Turkey,Europe
Atlético de San Luis,Liga MX,Mexico,North America
FC Dallas,MLS,United States,North America
Defensa y Justicia,Primera División,Argentina,South America
Dijon FCO,Ligue 2,France,Europe
Club Atlético Colón,Primera División,Argentina,South America
Houston Dynamo,MLS,United States,North America
Millwall,EFL Championship,England,Europe
Clube Sport Marítimo,Primeira Liga,Portugal,Europe
Sporting Kansas City,MLS,United States,North America
Atlético Nacional,Categoría Primera A,Colombia,South America
CD Lugo,Segunda División,Spain,Europe
MKE Ankaragücü,Süper Lig,Turkey,Europe
Yeni Malatyaspor,Süper Lig,Turkey,Europe
PAOK,Greek Super League,Greece,Europe
New York Red Bulls,MLS,United States,North America
SC Heerenveen,Eredivisie,Netherlands,Europe
Preston North End,EFL Championship,England,Europe
Damac FC,Saudi Professional League,Saudi Arabia,Asia
Daegu FC,K League 1,South Korea,Asia
SV Sandhausen,2. Bundesliga,Germany,Europe
Ulsan Hyundai FC,K League 1,South Korea,Asia
Boavista FC,Primeira Liga,Portugal,Europe
Molde FK,Eliteserien,Norway,Europe
VfL Bochum 1848,2. Bundesliga,Germany,Europe
Vancouver Whitecaps FC,MLS,Canada,North America
Brescia,Serie B,Italy,Europe
LASK Linz,Austrian Bundesliga,Austria,Europe
Guadalajara,Liga MX,Mexico,North America
Royal Excel Mouscron,Belgian Pro League,Belgium,Europe
FC Luzern,Swiss Super League,Switzerland,Europe
Real Salt Lake,MLS,United States,North America
Panathinaikos FC,Greek Super League,Greece,Europe
Viktoria Plzeň,Czech First League,Czech Republic,Europe
Orlando Pirates,South African Premier Division,South Africa,Africa
1. FC Nürnberg,2. Bundesliga,Germany,Europe
Rayo Vallecano,La Liga 2,Spain,Europe
Jeonbuk Hyundai Motors,K League 1,South Korea,Asia
FC Sion,Swiss Super League,Switzerland,Europe
Sydney FC,A-League,Australia,Oceania
Hannover 96,2. Bundesliga,Germany,Europe
Standard de Liège,Belgian Pro League,Belgium,Europe
Al Ittihad,Saudi Professional League,Saudi Arabia,Asia
Reading,EFL Championship,England,Europe
Western Sydney Wanderers,A-League,Australia,Oceania
Unión de Santa Fe,Primera División,Argentina,South America
Club Libertad,Primera División,Paraguay,South America
Real Sporting de Gijón,Segunda División,Spain,Europe
FC Cincinnati,MLS,United States,North America
San Jose Earthquakes,MLS,United States,North America
FC Lorient,Ligue 1,France,Europe
Club Guaraní,Primera División,Paraguay,South America
Gençlerbirliği SK,Süper Lig,Turkey,Europe
ESTAC Troyes,Ligue 2,France,Europe
Sporting de Charleroi,Belgian Pro League,Belgium,Europe
Wisła Kraków,Ekstraklasa,Poland,Europe
Al Taawoun,Saudi Professional League,Saudi Arabia,Asia
Gazişehir Gaziantep F.K.,Süper Lig,Turkey,Europe
FK Bodø/Glimt,Eliteserien,Norway,Europe
Blackburn Rovers,EFL Championship,England,Europe
Kashiwa Reysol,J1 League,Japan,Asia
Willem II,Eredivisie,Netherlands,Europe
Vitesse,Eredivisie,Netherlands,Europe
SønderjyskE,Superliga,Denmark,Europe
Yokohama F. Marinos,J1 League,Japan,Asia
Gil Vicente FC,Primeira Liga,Portugal,Europe
FC St. Gallen,Swiss Super League,Switzerland,Europe
Club Atlético Aldosivi,Primera División,Argentina,South America
FC Juárez,Liga MX,Mexico,North America
FCSB (Steaua),Liga I,Romania,Europe
Ettifaq FC,Saudi Professional League,Saudi Arabia,Asia
Holstein Kiel,2. Bundesliga,Germany,Europe
KAS Eupen,Belgian Pro League,Belgium,Europe
Göztepe SK,Süper Lig,Turkey,Europe
Universitatea Craiova,Liga I,Romania,Europe
CD Tondela,Primeira Liga,Portugal,Europe
Melbourne City FC,A-League,Australia,Oceania
Portimonense SC,Primeira Liga,Portugal,Europe
CD Tenerife,Segunda División,Spain,Europe
Stoke City,EFL Championship,England,Europe
Wolfsberger AC,Austrian Bundesliga,Austria,Europe
IFK Norrköping,Allsvenskan,Sweden,Europe
FC Tokyo,J1 League,Japan,Asia
Paris FC,Ligue 2,France,Europe
Al Faisaly,Saudi Professional League,Saudi Arabia,Asia
Independiente Medellín,Categoría Primera A,Colombia,South America
Kasimpaşa SK,Süper Lig,Turkey,Europe
Ceará Sporting Club,Campeonato Brasileiro Série A,Brazil,South America
Cardiff City,EFL Championship,England,Europe
Heracles Almelo,Eredivisie,Netherlands,Europe
Crotone,Serie B,Italy,Europe
América de Cali,Categoría Primera A,Colombia,South America
River Plate Asunción,Primera División,Paraguay,South America
Kawasaki Frontale,J1 League,Japan,Asia
SK Rapid Wien,Austrian Bundesliga,Austria,Europe
Club Necaxa,Liga MX,Mexico,North America
Chievo Verona,Serie B,Italy,Europe
Lech Poznań,Ekstraklasa,Poland,Europe
AIK,Allsvenskan,Sweden,Europe
Nashville SC,MLS,United States,North America
Club Atlético Banfield,Primera División,Argentina,South America
Legia Warszawa,Ekstraklasa,Poland,Europe
1. FC Heidenheim 1846,2. Bundesliga,Germany,Europe
Querétaro,Liga MX,Mexico,North America
Os Belenenses,Primeira Liga,Portugal,Europe
FK Austria Wien,Austrian Bundesliga,Austria,Europe
Huddersfield Town,EFL Championship,England,Europe
KSV Cercle Brugge,Belgian Pro League,Belgium,Europe
LDU Quito,Serie A,Ecuador,South America
Gamba Osaka,J1 League,Japan,Asia
Middlesbrough,EFL Championship,England,Europe
Servette FC,Swiss Super League,Switzerland,Europe
Empoli,Serie B,Italy,Europe
Dinamo Bucureşti,Liga I,Romania,Europe
Cerezo Osaka,J1 League,Japan,Asia
CFR Cluj,Liga I,Romania,Europe
Real Oviedo,Segunda División,Spain,Europe
Gimnasia y Esgrima La Plata,Primera División,Argentina,South America
